Model,DPO4034,DPO4034
Firmware Version,2.1,2.1
,,
Point Format,Y,Y
Horizontal Units,S,S
Horizontal Scale,0.0001,0.0001
Sample Interval,1.00E-07,1.00E-07
Record Length,10000,10000
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.1,1
Label,,
TIME,CH1,CH2
-4.44E-04,-0.54,-0.42
-4.44E-04,-0.544,-0.38
-4.44E-04,-0.54,-0.5
-4.44E-04,-0.552,-0.5
-4.44E-04,-0.548,-0.5
-4.44E-04,-0.548,-0.5
-4.43E-04,-0.548,-0.38
-4.43E-04,-0.56,-0.54
-4.43E-04,-0.556,-0.5
-4.43E-04,-0.552,-0.58
-4.43E-04,-0.556,-0.5
-4.43E-04,-0.564,-0.5
-4.43E-04,-0.564,-0.46
-4.43E-04,-0.564,-0.46
-4.43E-04,-0.556,-0.54
-4.43E-04,-0.572,-0.54
-4.42E-04,-0.572,-0.5
-4.42E-04,-0.572,-0.46
-4.42E-04,-0.576,-0.46
-4.42E-04,-0.568,-0.54
-4.42E-04,-0.58,-0.42
-4.42E-04,-0.576,-0.5
-4.42E-04,-0.576,-0.5
-4.42E-04,-0.576,-0.5
-4.42E-04,-0.576,-0.46
-4.42E-04,-0.592,-0.58
-4.41E-04,-0.58,-0.54
-4.41E-04,-0.58,-0.54
-4.41E-04,-0.584,-0.5
-4.41E-04,-0.592,-0.5
-4.41E-04,-0.588,-0.54
-4.41E-04,-0.58,-0.54
-4.41E-04,-0.592,-0.46
-4.41E-04,-0.588,-0.54
-4.41E-04,-0.596,-0.54
-4.41E-04,-0.588,-0.5
-4.40E-04,-0.596,-0.5
-4.40E-04,-0.592,-0.5
-4.40E-04,-0.596,-0.54
-4.40E-04,-0.6,-0.5
-4.40E-04,-0.6,-0.5
-4.40E-04,-0.608,-0.54
-4.40E-04,-0.608,-0.66
-4.40E-04,-0.604,-0.58
-4.40E-04,-0.608,-0.58
-4.40E-04,-0.612,-0.66
-4.39E-04,-0.6,-0.62
-4.39E-04,-0.616,-0.58
-4.39E-04,-0.616,-0.54
-4.39E-04,-0.616,-0.54
-4.39E-04,-0.62,-0.66
-4.39E-04,-0.616,-0.54
-4.39E-04,-0.62,-0.58
-4.39E-04,-0.62,-0.38
-4.39E-04,-0.628,-0.58
-4.39E-04,-0.624,-0.54
-4.38E-04,-0.628,-0.5
-4.38E-04,-0.624,-0.54
-4.38E-04,-0.62,-0.54
-4.38E-04,-0.632,-0.62
-4.38E-04,-0.64,-0.62
-4.38E-04,-0.64,-0.62
-4.38E-04,-0.636,-0.62
